epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,21470.7,1.48838,1.3133,1.42377,1,0.90379,0.95177,0.78829,1.35474,1.13253,1.36642,0.00246234,0.00246234,0.00246234
69,21772.2,1.48995,1.30508,1.41985,1,0.90375,0.95175,0.78834,1.35417,1.13153,1.36572,0.00232855,0.00232855,0.00232855
70,22070,1.48634,1.30927,1.41555,1,0.90388,0.95182,0.78835,1.35366,1.13072,1.3651,0.00219739,0.00219739,0.00219739
71,22368.8,1.47855,1.3016,1.41327,1,0.90392,0.95184,0.7884,1.35325,1.12983,1.36452,0.00206901,0.00206901,0.00206901
72,22669.7,1.48261,1.29953,1.41854,1,0.90427,0.95201,0.78852,1.35266,1.12888,1.36382,0.00194353,0.00194353,0.00194353
73,22970.6,1.47574,1.2941,1.41466,1,0.90397,0.95186,0.78855,1.35226,1.12789,1.36335,0.00182107,0.00182107,0.00182107
74,23272.1,1.47123,1.29243,1.41056,1,0.90414,0.95194,0.78872,1.35184,1.12703,1.36284,0.00170175,0.00170175,0.00170175
75,23571.5,1.47406,1.29824,1.4123,1,0.90379,0.95177,0.78858,1.35149,1.126,1.36236,0.00158569,0.00158569,0.00158569
76,23872.1,1.47508,1.28658,1.4081,1,0.90401,0.95188,0.78853,1.35117,1.12534,1.36181,0.001473,0.001473,0.001473
77,24173.3,1.4688,1.27761,1.40698,1,0.90414,0.95194,0.78847,1.35086,1.12429,1.36131,0.0013638,0.0013638,0.0013638
78,24472.6,1.46975,1.2903,1.40499,1,0.90414,0.95194,0.78859,1.35034,1.12352,1.36092,0.0012582,0.0012582,0.0012582
79,24771.6,1.46561,1.27648,1.40195,1,0.9041,0.95192,0.78856,1.35015,1.12248,1.36061,0.00115629,0.00115629,0.00115629
80,25070.7,1.46688,1.27718,1.401,1,0.90431,0.95203,0.78874,1.34994,1.12156,1.36007,0.00105818,0.00105818,0.00105818
81,25368.6,1.46554,1.27748,1.39875,1,0.90436,0.95205,0.78882,1.34917,1.12053,1.35927,0.00096396,0.00096396,0.00096396
82,25667.4,1.46459,1.27397,1.40021,1,0.90462,0.95218,0.78897,1.34875,1.11984,1.35866,0.000873733,0.000873733,0.000873733
83,25966.2,1.45925,1.2663,1.39609,1,0.90423,0.95199,0.78884,1.34844,1.11924,1.35828,0.000787582,0.000787582,0.000787582
84,26266.2,1.4599,1.26405,1.39713,1,0.90449,0.95211,0.78896,1.348,1.11871,1.35779,0.000705594,0.000705594,0.000705594
85,26566.4,1.4626,1.27267,1.399,1,0.90449,0.95211,0.78895,1.34776,1.11792,1.35744,0.000627848,0.000627848,0.000627848
86,26864.9,1.37067,1.1646,1.39476,1,0.90414,0.95194,0.78891,1.34764,1.11717,1.35703,0.000554422,0.000554422,0.000554422
87,27156.5,1.36107,1.1533,1.38609,1,0.90405,0.9519,0.78902,1.34754,1.11627,1.35669,0.000485389,0.000485389,0.000485389
88,27450.5,1.36996,1.1562,1.38807,1,0.90427,0.95201,0.78906,1.34722,1.11531,1.35611,0.000420816,0.000420816,0.000420816
89,27743.1,1.35376,1.14582,1.38126,1,0.90427,0.95201,0.7891,1.3468,1.11435,1.35554,0.000360766,0.000360766,0.000360766
90,28035.2,1.3605,1.14963,1.38413,1,0.90427,0.95201,0.78907,1.3463,1.11335,1.35493,0.000305301,0.000305301,0.000305301
